original_user_id	new_user_id
126969	0
40431	1
65829	2
74581	3
154091	4
123415	5
53590	6
107280	7
176507	8
187932	9
113453	10
38558	11
74677	12
181950	13
42034	14
65403	15
167883	16
55179	17
149692	18
24	19
93529	20
85206	21
178666	22
62337	23
26543	24
142711	25
124548	26
2875	27
79278	28
100720	29
136444	30
70414	31
111901	32
114922	33
99477	34
191855	35
101586	36
48878	37
181333	38
71632	39
86262	40
78384	41
1779	42
126016	43
157819	44
120692	45
185054	46
59510	47
169755	48
109486	49
59703	50
196121	51
116038	52
75025	53
178908	54
175862	55
155229	56
157679	57
188830	58
189322	59
94117	60
150581	61
39063	62
193021	63
192767	64
77063	65
186687	66
133797	67
77109	68
103686	69
1819	70
47858	71
196901	72
27981	73
173190	74
39901	75
64718	76
189501	77
51543	78
25153	79
135269	80
16347	81
170163	82
33457	83
55077	84
97250	85
109347	86
166105	87
96983	88
131854	89
28154	90
45688	91
47516	92
197785	93
13808	94
178774	95
196419	96
17394	97
16856	98
23329	99
147251	100
135672	101
147170	102
15888	103
77398	104
38911	105
199070	106
120520	107
60498	108
173767	109
132823	110
147539	111
189262	112
97940	113
41263	114
155781	115
146302	116
126665	117
91214	118
75368	119
133251	120
182211	121
146704	122
174283	123
152759	124
61981	125
129893	126
186190	127
97925	128
196033	129
60339	130
3419	131
170794	132
1682	133
37821	134
133164	135
125669	136
102371	137
87862	138
35158	139
11383	140
129818	141
196070	142
145466	143
34031	144
99843	145
89692	146
117823	147
47152	148
7764	149
12427	150
128243	151
68751	152
125395	153
27192	154
152758	155
146089	156
11813	157
6859	158
114825	159
128080	160
65331	161
108735	162
3943	163
76717	164
76893	165
73258	166
82610	167
13966	168
50605	169
180312	170
68870	171
152214	172
164466	173
28688	174
108185	175
108878	176
139975	177
30230	178
25268	179
29776	180
91039	181
90399	182
2207	183
195677	184
85677	185
142097	186
94426	187
149119	188
149286	189
27444	190
66662	191
144569	192
175232	193
165079	194
197806	195
59261	196
93302	197
37361	198
20564	199
23124	200
19746	201
157935	202
194393	203
10358	204
123571	205
91985	206
174544	207
49511	208
168885	209
33872	210
69281	211
64602	212
33485	213
196285	214
85374	215
198558	216
37033	217
131037	218
167532	219
140928	220
86872	221
131442	222
128265	223
123032	224
23252	225
146573	226
123013	227
181657	228
19073	229
64315	230
189420	231
179559	232
2654	233
99840	234
38100	235
185481	236
92601	237
158756	238
79048	239
164325	240
125586	241
51662	242
112684	243
116826	244
13704	245
63524	246
172576	247
148198	248
11719	249
47691	250
141404	251
114370	252
145831	253
24098	254
144596	255
199155	256
32510	257
79518	258
32671	259
50940	260
116576	261
10932	262
131908	263
32749	264
45816	265
37727	266
122675	267
116878	268
113552	269
90288	270
88452	271
192754	272
108062	273
138066	274
90462	275
53401	276
111766	277
103407	278
78941	279
160898	280
178064	281
21727	282
44275	283
148731	284
10050	285
176435	286
30770	287
72189	288
122371	289
160705	290
79004	291
141541	292
39864	293
79568	294
122636	295
136288	296
119776	297
24697	298
14033	299
193686	300
176143	301
175028	302
121662	303
121369	304
117222	305
183462	306
89754	307
114105	308
103349	309
1308	310
104861	311
74740	312
151060	313
118566	314
173138	315
88467	316
7860	317
159336	318
33353	319
165052	320
34206	321
198192	322
83507	323
175892	324
167073	325
2995	326
4820	327
71044	328
26789	329
70634	330
172188	331
44431	332
149133	333
34576	334
21761	335
188031	336
50996	337
114388	338
190307	339
149436	340
131587	341
92800	342
38259	343
115073	344
23952	345
10884	346
14549	347
98159	348
18312	349
106632	350
150003	351
103087	352
59079	353
68289	354
2751	355
192779	356
110121	357
53923	358
101690	359
197201	360
159745	361
174077	362
3134	363
162375	364
186315	365
134850	366
155571	367
160647	368
140989	369
45027	370
171840	371
61894	372
64012	373
45615	374
72519	375
133076	376
156881	377
141734	378
58008	379
126782	380
73095	381
136187	382
130671	383
184543	384
28085	385
183314	386
73606	387
4173	388
43607	389
90515	390
156528	391
69361	392
69084	393
15583	394
29367	395
25620	396
153153	397
173424	398
27327	399
75282	400
31908	401
191774	402
97295	403
180929	404
58883	405
173990	406
168200	407
173227	408
168901	409
142748	410
86531	411
9492	412
119092	413
121579	414
125149	415
27216	416
133589	417
102335	418
189067	419
131790	420
133083	421
21079	422
31599	423
111736	424
36335	425
174833	426
71325	427
56897	428
