original_wm_poi_id	new_wm_poi_id
2011	0
877	1
2067	2
815	3
2721	4
1748	5
3071	6
1686	7
1488	8
3193	9
384	10
1048	11
812	12
244	13
1256	14
2766	15
2252	16
3047	17
3023	18
1578	19
665	20
3230	21
1945	22
2643	23
212	24
2908	25
1045	26
1133	27
689	28
3061	29
2428	30
2705	31
1038	32
2736	33
2681	34
871	35
1179	36
3132	37
866	38
3131	39
1765	40
453	41
2933	42
3187	43
2345	44
795	45
2442	46
1797	47
2532	48
341	49
2378	50
1204	51
1068	52
957	53
741	54
3321	55
1511	56
758	57
2406	58
2779	59
2587	60
2695	61
366	62
884	63
2901	64
530	65
182	66
48	67
2888	68
149	69
2366	70
1848	71
2102	72
2318	73
1982	74
2114	75
2480	76
508	77
549	78
588	79
1396	80
3224	81
3297	82
2307	83
3196	84
1636	85
666	86
525	87
2274	88
962	89
1776	90
2207	91
3100	92
293	93
273	94
2580	95
714	96
1327	97
1835	98
1992	99
3191	100
225	101
2842	102
465	103
2050	104
1487	105
2202	106
2367	107
294	108
215	109
2789	110
2372	111
1430	112
1	113
1541	114
1162	115
1296	116
2837	117
184	118
2133	119
506	120
542	121
977	122
2965	123
2092	124
303	125
2560	126
64	127
1178	128
175	129
126	130
2545	131
2648	132
672	133
3278	134
1030	135
651	136
1093	137
1022	138
1074	139
2517	140
2941	141
3285	142
1348	143
2927	144
2621	145
440	146
3118	147
673	148
989	149
1127	150
579	151
3107	152
332	153
2606	154
3065	155
1191	156
1940	157
1853	158
764	159
1532	160
207	161
346	162
2668	163
3140	164
3244	165
1058	166
3063	167
629	168
2075	169
1709	170
2485	171
376	172
2567	173
731	174
2557	175
747	176
1534	177
1896	178
2839	179
945	180
1560	181
3097	182
81	183
3228	184
2698	185
2137	186
3254	187
2555	188
445	189
633	190
819	191
1597	192
2094	193
830	194
2622	195
3198	196
112	197
1644	198
2284	199
113	200
110	201
2577	202
426	203
2554	204
1814	205
1753	206
117	207
238	208
1645	209
2118	210
1785	211
3025	212
2496	213
2215	214
1882	215
2763	216
2509	217
2283	218
223	219
693	220
2304	221
806	222
66	223
3075	224
170	225
2111	226
2998	227
2347	228
3031	229
3052	230
2996	231
2758	232
1767	233
847	234
762	235
1581	236
3314	237
1918	238
3205	239
754	240
