user_id_new	wm_poi_id_new
0	220
0	146
0	146
0	220
0	263
0	163
0	163
0	220
0	228
0	145
1	530
1	530
1	92
1	944
1	896
1	896
1	896
1	1272
1	282
1	1272
1	1272
1	1403
1	440
1	2036
1	531
1	201
1	31
1	1739
1	587
1	587
1	162
1	218
1	2036
1	1646
1	1646
1	538
2	242
2	242
2	179
2	242
2	242
2	98
2	300
2	300
2	242
2	242
2	211
2	242
2	600
3	924
3	678
4	38
4	38
4	304
4	218
4	585
4	248
4	210
4	479
5	215
5	583
5	484
5	69
5	27
5	289
5	286
5	11
5	27
5	177
5	613
5	885
5	1578
5	276
5	319
5	177
5	286
5	218
5	1203
5	218
5	69
5	276
5	44
5	513
5	11
5	319
5	885
5	1466
5	34
5	1203
5	276
6	315
6	1169
6	1169
6	61
6	1633
6	61
6	356
6	1602
6	112
6	535
6	1584
6	535
6	327
7	474
7	177
8	2271
8	678
8	1641
8	1671
8	300
8	69
8	50
8	417
8	408
9	204
10	1596
10	1119
10	1494
10	1119
11	153
12	12
12	128
12	12
12	12
13	130
13	222
13	222
13	222
13	1594
14	1704
14	481
14	335
14	1124
15	30
15	152
15	418
15	1008
15	124
15	124
15	197
15	219
16	16
16	262
16	183
16	498
17	1353
18	282
18	18
18	0
18	0
18	282
18	18
18	282
18	0
18	0
18	276
18	282
18	440
18	18
18	90
18	90
18	0
18	282
18	276
18	282
18	90
18	282
18	90
19	481
19	533
20	282
20	20
20	81
20	226
20	449
20	226
20	20
20	532
20	31
20	40
20	449
20	103
21	250
22	185
22	692
22	22
22	1750
22	692
22	600
22	692
22	692
22	692
22	300
23	469
23	519
23	573
23	119
23	418
23	258
23	400
23	39
23	573
23	39
23	39
23	65
23	855
23	110
23	254
23	110
23	452
23	423
23	254
23	300
23	300
24	513
25	96
25	84
25	103
25	203
25	617
25	203
25	617
25	218
25	218
25	617
25	103
26	291
26	145
26	291
26	483
26	483
26	145
26	291
26	215
26	228
26	263
26	263
26	24
26	228
26	483
27	1671
27	10
28	41
28	1433
28	107
28	53
29	753
29	306
29	423
29	196
29	988
29	663
29	177
29	988
29	218
29	753
29	30
29	1545
29	52
29	495
29	423
29	306
29	1545
29	196
29	342
29	1463
29	824
29	38
29	27
29	824
29	875
29	1463
29	216
29	13
29	52
30	52
30	101
30	283
30	617
30	378
31	240
31	101
31	101
31	29
31	240
31	29
31	101
32	1105
32	300
32	39
32	165
32	109
32	54
32	300
32	82
33	57
33	31
33	69
33	31
33	586
34	2181
35	185
35	873
35	534
35	250
35	534
35	185
36	480
36	480
36	1995
36	1891
36	6
36	480
36	480
36	480
36	2180
36	1128
36	480
36	1891
36	480
36	480
36	480
36	1891
36	2689
36	480
36	480
36	1128
36	480
36	402
36	1312
36	480
36	480
36	480
36	402
36	480
36	402
36	2168
36	2599
36	1891
37	682
37	633
38	12
38	806
38	806
38	1863
38	185
39	293
39	157
39	285
39	613
39	352
39	279
40	119
40	169
40	71
40	393
40	819
40	265
40	227
40	1748
40	1748
40	163
40	573
40	968
40	1466
40	415
40	141
40	413
40	108
40	265
40	378
40	27
40	9
40	483
40	293
40	346
40	130
40	447
41	152
41	454
41	152
41	1644
41	2049
41	2049
41	197
41	152
41	1189
41	712
41	152
41	50
41	42
41	1413
41	11
41	11
41	152
41	279
41	50
41	1644
41	395
41	1528
41	74
41	195
41	1151
41	583
41	843
41	279
41	222
41	712
41	30
41	30
41	583
41	843
41	30
41	351
41	22
41	111
41	248
41	244
42	74
42	17
43	1
43	219
43	1094
43	1
43	1334
43	1
43	1
43	213
43	74
43	821
43	1
43	821
43	498
43	407
44	208
44	2341
44	289
44	282
44	208
44	754
44	1983
44	2341
44	16
44	709
44	754
44	282
44	289
44	754
44	1983
44	208
44	1083
44	289
44	1983
44	754
44	754
44	1083
44	1103
45	282
45	303
45	2036
45	1346
45	912
45	138
46	393
46	533
46	129
46	102
46	939
46	45
47	2225
47	617
47	46
47	46
47	46
47	497
47	122
47	122
47	139
47	497
47	497
47	46
47	276
47	409
47	409
47	372
48	47
48	525
49	570
49	680
49	48
49	48
49	196
49	570
49	570
49	601
49	236
49	1756
49	1756
49	1756
49	1756
49	48
49	48
50	520
50	218
50	218
51	163
51	163
51	50
51	50
52	346
52	119
52	139
52	553
52	834
52	2220
52	46
52	337
52	205
52	983
53	132
53	1668
53	277
53	52
53	1028
53	1602
53	349
53	401
53	1114
53	1114
53	1119
53	1804
54	183
55	108
55	1752
55	1665
55	53
55	323
55	1665
55	1293
55	444
55	257
55	135
55	808
55	135
55	204
55	203
55	135
55	33
55	33
55	69
55	203
55	31
55	613
55	33
55	1931
55	541
55	1931
56	1346
56	167
56	59
56	2714
56	167
56	2237
56	1346
56	1413
56	105
56	1537
56	1434
56	2457
56	59
56	1489
56	54
56	202
56	1346
56	167
56	1445
57	67
57	556
57	185
57	218
57	1263
57	316
57	1259
57	94
58	45
58	45
58	45
58	45
59	85
59	227
59	86
59	23
59	222
59	130
59	227
59	85
60	58
61	2233
61	507
61	504
61	67
61	2233
61	216
61	247
62	52
62	82
62	463
62	1401
62	103
62	1883
62	343
62	519
63	82
63	95
63	2037
63	627
63	1668
63	400
63	82
63	736
64	63
64	214
64	209
64	445
64	63
65	64
65	805
65	805
65	754
65	754
66	215
66	290
66	646
66	9
66	924
66	323
66	495
66	215
66	484
67	163
67	163
67	163
67	163
67	163
67	66
67	66
68	562
68	562
68	594
68	2366
68	1289
68	479
68	479
68	52
68	2452
68	688
68	761
68	763
68	2366
68	508
69	974
69	203
69	23
69	23
69	134
69	1704
69	67
69	1566
70	34
70	524
70	346
70	204
70	524
70	204
70	100
70	182
70	449
70	743
70	204
70	235
70	743
71	2086
71	149
71	199
71	212
72	27
72	764
72	764
72	133
72	510
72	197
72	197
72	133
72	185
72	226
72	165
72	41
72	381
72	55
72	134
73	317
73	598
73	598
73	317
73	627
74	3
75	177
75	765
75	378
75	177
75	453
76	1049
76	790
77	16
77	49
77	326
77	75
77	326
77	326
77	29
77	730
77	187
77	75
77	75
77	730
77	403
77	75
77	403
77	326
78	619
78	226
78	510
78	1197
78	304
79	261
79	189
79	3
79	2780
79	1298
79	3
79	177
79	3
79	3
79	44
79	57
79	57
79	71
79	436
79	71
79	139
79	1088
79	1969
79	1298
79	77
79	1718
79	77
80	942
80	122
80	942
80	2373
80	2373
80	171
80	2373
80	1428
80	2373
80	2180
80	2373
80	1428
80	2373
80	942
81	279
82	152
82	403
83	129
83	24
83	24
83	24
83	2042
83	81
83	81
